"var";"var"
"☞";"☞"
"me";"mij"
"⛏";"⛏"
"my";"mijn"
"⚿";"⚿"
"new";"nieuw"
"new:";"nieuw:"
"equals:";"gelijkAan:"
"=";"="
"on:do:";"bij:doen:"
"type";"type"
"isNil";"isNiets"
"myself";"mijzelf"
"do";"doen"
"done";"klaar"
"ifFalse:";"zoJa:"
"ifTrue:";"zoNee:"
"message:arguments:";"bericht:argumenten:"
"message:";"bericht:"
"listen:";"luister:"
"join";"samenvoegen"
"learn:means:";"leerDat:betekent:"
"Object";"Object"
"Nil";"Niets"
"break";"afbreken"
"continue";"doorgaan"
"else:";"anders:"
"not";"niet"
"&";"&"
"!";"!"
"|";"|"
"?";"?"
"!=:";"!=:"
"toNumber";"naarGetal"
"toString";"naarTekst"
"either:or:";"of:of:"
"Boolean";"Boolean"
"to:step:do:";"tot:stap:doen:"
"+";"+"
"+=:";"+=:"
"-";"-"
"-=:";"-=:"
"*";"*"
"by:";"per:"
"times:";"keer:"
"*=:";"*=:"
"/";"/"
"/=:";"/=:"
">";">"
"<";"<"
"<=:";"<=:"
"!=:";"!=:"
"%";"%"
"factorial";"faculteit"
"floor";"afrondenNaarBeneden"
"ceil";"afrondenNaarBoven"
"round";"afgerond"
"abs";"absoluut"
"sin";"sinus"
"cos";"cosinus"
"exp";"exponent"
"sqrt";"wortel"
"tan";"tangens"
"atan";"arctangens"
"log";"logaritme"
"toPowerOf:";"totDeMacht:"
"min";"minimum"
"max";"maximum"
"min:";"minimum:"
"max:";"maximum:"
"odd";"oneven"
"even";"even"
"pos";"positief"
"neg";"negatief"
"toString";"naarTekst"
"toBoolean";"naarBoolean"
"between:and:";"tussen:en:"
"Number";"Getal"
"bytes";"bytes"
"length";"lengte"
"from:to:";"van:tot:"
"from:length:";"van:lengte:"
"trim";"knippen"
"leftTrim";"linksKnippen"
"rightTrim";"rechtsKnippen"
"htmlEscape";"htmlCoderen"
"at:";"bij:"
"@";"@"
"byteAt:";"byteBij:"
"indexOf:";"plekVan:"
"lastIndexOf:";"laatstePlekVan:"
"replace:with:";"vervang:door:"
"split:";"opsplitsen:"
"skip:";"overslaan:"
"append:";"toevoegen:"
"toNumber";"naarGetal"
"findPattern:do:";"vindPatroon:doen:"
"String";"Tekst"
"run";"start"
"applyTo:";"toepassen:"
"applyTo:and:";"toepassen:en:"
"set:value:";"gebruik:waarde:"
"error:";"fout:"
"catch:";"bijUitzondering:"
"whileTrue:";"zolangJa:"
"whileFalse:";"zolangNee:"
"CodeBlock";"CodeBlok"
"push:";"erbij:"
";";";"
"unshift:";"opschuiven:"
"shift";"afschuiven"
"count";"aantal"
"join:";"samenvoegen:"
"pop";"eraf"
"sort:";"sorteren:"
"put:at:";"zet:bij:"
"from:length:";"van:lengte:"
"map:";"woordlijst:"
"each:";"elk:"
"sum";"som"
"product";"product"
"Array";"Reeks"
"Map";"woordlijst"
"write:";"schrijf:"
"brk";"stop"
"Pen";"Pen"
"✎";"✎"
"⏰";"⏰"
"💻";"💻"
"⚄";"⚄"
"path";"pad"
"read";"lezen"
"append:";"toevoegen:"
"exists";"bestaat"
"size";"grootte"
"delete";"verwijderen"
"include";"invoegen"
"open:";"openen:"
"close";"sluiten"
"list:";"lijst:"
"readBytes:";"leesBytes:"
"writeBytes:";"schrijfBytes:"
"seek:";"zoeken:"
"rewind";"terugspoelen"
"end";"einde"
"File";"Bestand"
"argument:";"argument:"
"argCount";"aantalArgumenten"
"waitForInput";"wachtOpInvoer"
"input";"invoer"
"exit";"uit"
"flush";"spoelen"
"Program";"Programma"
"wait:";"wacht:"
"time";"tijd"
"Clock";"Klok"
"roll";"werp"
"Dice";"Dobbelsteen"
"respondTo:";"reageerOp:"
"respondTo:and:";"reageerOp:en:"
"call:";"aanroepen:"
"shell:";"opdrachtregel:"
"sweep";"vegen"
"dust";"stof"
"objectCount";"aantalObjecten"
"keptCount";"aantalBehouden"
"keptAlloc";"aantalToewijzingen"
"stickyCount";"aantalVast"
"memoryLimit:";"geheugenLimiet:"
"mode:";"modus:"
"Broom";"Bezem"
"hashWithKey:";"klutsMetSleutel:"
"obtain";"verkrijgen"
"Slurp";"Slurp"
"eval";"evalueren"
"escapeQuotes";"onthaken"
"escape:";"codeer:"
"unescape:";"decodeer:"
"toByte";"naarByte"
"characters";"letters"
"toByteArray";"naarByteReeks"
"serialize";"serialiseren"
"appendByte:";"voegBytetoe:"
"qualify:";"kwalificeren:"
"qualification";"kwalificatie"
"new:";"nieuw:"
"hrs";"uur"
"hour";"uur"
"hour:";"uur:"
"hours";"uren"
"min";"min"
